,state,state code,total,male,male under 1,male 1,male 2,male 3,male 4,male 5,male 6,male 7,male 8,male 9,male 10,male 11,male 12,male 13,male 14,male 15,male 16,male 17,male 18,male 19,male 20,male 21,male 22,male 23,male 24,male 25,male 26,male 27,male 28,male 29,male 30,male 31,male 32,male 33,male 34,male 35,male 36,male 37,male 38,male 39,male 40,male 41,male 42,male 43,male 44,male 45,male 46,male 47,male 48,male 49,male 50,male 51,male 52,male 53,male 54,male 55,male 56,male 57,male 58,male 59,male 60,male 61,male 62,male 63,male 64,male 65,male 66,male 67,male 68,male 69,male 70,male 71,male 72,male 73,male 74,male 75,male 76,male 77,male 78,male 79,male 80,male 81,male 82,male 83,male 84,male 85,male 86,male 87,male 88,male 89,male 90,male 91,male 92,male 93,male 94,male 95,male 96,male 97,male 98,male 99,male 100-104,male 105-109,male 110+,female,female under 1,female 1,female 2,female 3,female 4,female 5,female 6,female 7,female 8,female 9,female 10,female 11,female 12,female 13,female 14,female 15,female 16,female 17,female 18,female 19,female 20,female 21,female 22,female 23,female 24,female 25,female 26,female 27,female 28,female 29,female 30,female 31,female 32,female 33,female 34,female 35,female 36,female 37,female 38,female 39,female 40,female 41,female 42,female 43,female 44,female 45,female 46,female 47,female 48,female 49,female 50,female 51,female 52,female 53,female 54,female 55,female 56,female 57,female 58,female 59,female 60,female 61,female 62,female 63,female 64,female 65,female 66,female 67,female 68,female 69,female 70,female 71,female 72,female 73,female 74,female 75,female 76,female 77,female 78,female 79,female 80,female 81,female 82,female 83,female 84,female 85,female 86,female 87,female 88,female 89,female 90,female 91,female 92,female 93,female 94,female 95,female 96,female 97,female 98,female 99,female 100-104,female 105-109,female 110+
0,Alabama,01,185602,103783,2638,2538,2639,2626,2389,2164,2130,1987,1841,1880,1698,1608,1586,1405,1400,1366,1397,1547,1747,1957,2215,2261,2571,2748,2844,2777,2573,2764,2546,2572,2555,2205,2193,2131,1946,1978,1621,1615,1563,1486,1445,1248,1217,1133,1112,1011,956,914,896,820,766,671,640,645,584,543,482,422,454,390,323,335,290,228,225,232,208,189,153,141,125,124,125,103,86,98,92,77,67,75,80,52,41,48,37,35,30,21,17,14,13,7,8,6,6,5,2,1,1,2,3,2,0,81819,2558,2483,2510,2483,2221,2052,1975,1827,1820,1708,1619,1512,1381,1364,1222,1214,1214,1264,1342,1447,1425,1437,1601,1673,1760,1668,1762,1783,1736,1697,1788,1457,1542,1512,1398,1425,1269,1227,1097,1093,962,924,877,774,778,845,715,673,614,645,631,516,543,536,453,431,410,335,296,305,321,283,277,222,183,222,169,183,163,148,157,141,155,132,118,106,89,110,105,87,79,60,59,85,44,54,53,41,34,16,22,16,12,11,5,3,7,5,2,8,2,0,1
1,Alaska,02,39249,20128,480,488,486,450,449,404,472,424,410,428,414,361,380,354,393,348,404,408,365,346,430,436,447,401,400,412,379,332,381,353,338,276,297,256,262,284,251,221,252,256,279,250,242,244,233,226,225,238,219,235,223,206,232,197,183,189,153,152,138,119,122,110,76,79,80,78,50,45,49,45,37,35,26,21,23,23,23,16,11,11,12,11,4,5,7,3,4,1,3,2,1,1,0,0,0,1,1,0,0,0,1,0,0,19121,486,481,456,460,450,397,390,382,428,384,398,419,359,374,355,379,333,328,370,324,329,360,341,330,364,330,362,372,329,317,297,263,290,294,275,273,239,267,234,272,257,233,260,200,205,268,229,190,256,228,199,195,157,187,167,166,149,119,118,126,113,91,92,99,72,63,53,51,50,44,45,46,33,19,24,24,27,9,28,19,22,10,14,2,7,15,15,5,2,8,4,3,4,3,0,1,0,4,0,0,0,0,0
2,Arizona,04,1895149,951790,20058,20680,21537,21233,20978,20585,20317,20212,19586,20428,20169,19305,19288,19103,18748,18956,18596,18995,19231,18583,17953,16459,16266,15651,15710,15768,15100,15580,15361,15646,16099,14568,14711,14362,14429,14903,13541,13433,13074,13111,13208,12193,12152,11546,11502,11668,10788,10691,10125,9759,9752,8654,8478,7916,7563,7115,6874,6163,5940,5690,5458,5035,4892,4336,3886,3654,3334,3138,2861,2702,2520,2337,2226,1969,1950,1801,1518,1420,1392,1356,1306,1062,938,821,699,621,566,442,329,315,229,149,129,92,60,36,23,27,21,22,22,4,2,943359,19349,19739,20716,20459,20016,19838,19527,19582,19225,19759,19459,18761,18422,18275,17919,18049,18049,18028,17948,17332,16622,15566,14889,14859,14750,14695,13958,14818,14738,14969,15091,13937,14295,14163,14287,14675,13842,13545,13660,13392,13436,11953,12171,11396,11295,11401,10944,10553,10191,10154,9931,9084,8885,8378,8002,7707,7137,6910,6286,6232,5828,5370,5356,4881,4347,4236,4068,3677,3450,3193,3159,2870,2646,2506,2353,2261,1966,1975,1790,1864,1712,1501,1351,1214,1162,974,818,738,610,487,411,295,281,196,167,120,91,55,46,34,47,3,1
3,Arkansas,05,186050,99253,2529,2420,2496,2570,2495,2471,2266,2297,2060,2164,2042,1932,1856,1800,1814,1771,1702,1739,1795,1828,1823,1847,1921,1940,1947,2044,1932,2076,1941,1995,2069,1827,1834,1727,1726,1730,1554,1507,1460,1486,1439,1352,1280,1243,1088,1150,1007,909,852,890,827,817,674,633,631,587,505,456,428,401,367,310,348,295,225,219,185,165,151,138,145,115,126,109,90,73,78,64,61,46,60,46,36,29,31,35,20,22,13,9,13,7,4,5,3,3,1,0,0,1,1,1,1,86797,2354,2426,2501,2484,2433,2255,2168,2172,2027,2004,1960,1854,1724,1760,1594,1603,1560,1653,1489,1539,1417,1424,1407,1512,1534,1488,1453,1543,1585,1542,1658,1489,1570,1416,1445,1430,1348,1383,1299,1275,1156,1054,1066,948,935,917,843,854,717,744,688,620,599,599,499,483,452,411,364,338,323,313,289,276,230,234,184,199,164,137,134,125,119,102,102,105,66,78,69,61,56,42,42,53,37,35,36,26,24,17,8,8,10,7,6,6,2,3,2,1,0,1,0
4,California,06,14013719,7080128,134724,135826,141515,140635,136362,134501,131484,130299,129608,132738,133533,131162,130942,133216,135287,136458,139301,140511,141226,138742,134076,127931,127380,124962,126679,124996,120607,123511,120713,121653,123557,110315,112827,110461,110356,112594,105663,106614,105193,106831,111024,100936,100371,95227,94964,95338,88552,84734,80876,78989,79260,69725,68502,63585,61847,59386,52588,48881,45452,43117,41158,36714,35663,32436,28378,26706,24216,22449,20483,19196,18519,16970,15705,14838,14264,13371,11831,11230,10766,10441,10053,8422,7496,6794,6082,5273,4817,4145,3244,2530,1982,1361,1148,762,665,482,363,256,191,130,214,29,12,6933591,129848,130113,134777,135014,131092,128829,126873,126099,125144,127583,126991,126253,126826,128299,129459,130906,131849,132163,132308,129216,122681,115391,114082,111645,111752,112266,109249,112603,112089,112371,112487,104446,107342,106279,106378,108777,104005,104929,102703,104472,105015,96648,94674,91813,89753,91005,87188,83931,80237,79650,78522,71216,70566,65980,65049,62286,56716,52972,49192,47342,45463,41747,39962,36713,32919,32296,29516,28395,25377,24473,23404,21818,20598,19647,19090,18156,16362,15532,14944,15146,14296,12376,11592,10653,9600,8602,7276,6309,5466,4581,3682,2804,2250,1739,1426,1094,850,697,479,340,517,55,5
5,Louisiana,22,192560,106394,2214,2064,2068,1890,1772,1649,1551,1458,1452,1456,1430,1382,1263,1203,1262,1326,1262,1445,1672,1772,1994,2144,2425,2444,2572,2666,2585,2525,2457,2531,2458,2153,2240,2003,2025,2017,1832,1763,1754,1543,1681,1436,1411,1402,1335,1374,1265,1273,1207,1267,1183,1046,1068,939,981,896,814,780,741,684,633,576,538,561,436,427,409,369,327,314,301,293,277,265,245,223,202,170,157,146,149,148,121,85,91,80,84,50,56,38,31,20,15,18,14,7,2,4,1,5,1,0,0,86166,2012,1982,1959,1887,1616,1582,1499,1434,1347,1287,1343,1292,1187,1180,1165,1135,1213,1202,1287,1482,1463,1465,1598,1604,1668,1682,1593,1689,1621,1568,1615,1460,1488,1351,1344,1314,1134,1190,1222,1229,1156,1058,1038,972,1009,1021,1070,1040,953,954,987,850,863,805,883,816,771,709,673,647,637,564,580,522,467,421,450,447,386,363,383,319,324,312,317,270,277,239,227,256,225,227,212,154,162,132,117,105,104,67,55,51,21,25,24,11,12,14,5,5,12,1,0
6,Kentucky,21,132836,74281,1898,1833,1904,1937,1789,1742,1620,1511,1454,1338,1252,1149,1201,1098,994,1026,999,1136,1184,1356,1446,1512,1529,1609,1824,1816,1727,1778,1704,1652,1740,1547,1469,1394,1379,1380,1265,1206,1262,1186,1139,920,937,852,836,835,763,770,674,676,607,512,477,428,442,373,346,311,338,279,259,258,219,200,181,164,151,147,142,119,92,114,86,79,71,80,57,58,59,63,53,39,37,25,27,22,28,18,16,13,12,9,8,4,2,1,2,1,1,2,1,0,0,58555,1792,1739,1943,1924,1781,1619,1536,1406,1297,1249,1184,1109,988,962,920,866,900,853,1004,998,1013,995,1063,1039,1115,1049,1135,1202,1049,1164,1077,1036,1048,972,931,911,918,890,858,853,731,730,620,588,613,598,589,532,481,459,432,378,373,346,304,339,291,246,254,218,234,229,197,186,148,130,159,145,130,123,97,105,111,99,72,100,75,75,64,71,70,63,57,43,30,31,27,32,36,24,9,27,11,12,10,2,1,1,2,2,4,1,0
7,Colorado,08,1038687,529799,11317,11474,11832,11803,11472,11417,11248,11127,10960,10721,10561,10333,9798,9670,9488,9387,9410,9492,9364,9239,8886,8595,8597,8864,8985,8937,8922,9367,9099,9344,9576,8761,8887,8329,8513,8633,8206,7987,7990,7842,7606,7055,6903,6468,6424,6674,6164,5956,5798,5474,5585,4901,4789,4674,4335,4274,3914,3652,3433,3376,3199,2840,2929,2671,2176,2070,1920,1775,1604,1508,1453,1372,1323,1205,1128,977,939,835,801,703,672,617,570,424,422,361,334,235,194,185,120,101,59,67,35,23,17,16,16,3,9,2,1,508888,10816,10919,10955,11321,10802,11081,10831,10764,10239,10754,10394,9852,9421,8994,8807,8876,8793,9096,8852,8576,8362,7857,7924,7871,8058,8084,8141,8233,8459,8318,8487,7888,8042,8024,7881,7824,7680,7562,7441,7287,7140,6744,6474,5992,6137,6117,5807,5884,5639,5554,5431,5003,4756,4705,4421,4279,3890,3783,3636,3357,3276,3084,2977,2918,2396,2246,2110,2022,1858,1728,1683,1562,1546,1356,1321,1319,1203,1085,1013,949,897,837,758,669,609,534,499,437,363,304,221,182,136,132,107,64,51,34,31,24,29,3,0
8,Connecticut,09,479087,239396,4748,4738,4809,4948,4742,4657,4485,4455,4474,4368,4530,4435,4288,4395,4342,4415,4559,4531,4579,4678,4719,4411,4366,4198,4279,4316,4139,4266,4358,4355,4515,4028,4097,3970,3925,3877,3581,3508,3629,3701,3710,3379,3383,3292,3313,3303,3070,2893,2695,2740,2645,2340,2236,2168,2043,1908,1594,1587,1426,1377,1269,1232,1232,1069,991,890,779,748,635,563,576,540,448,457,431,369,315,291,247,277,216,196,182,155,136,126,102,93,73,50,51,41,27,17,21,12,6,5,4,2,4,2,0,239691,4605,4473,4682,4655,4487,4388,4280,4125,4300,4264,4378,4341,4269,4186,4213,4141,4206,4228,4404,4307,4209,3972,3933,3774,3891,3870,3795,3940,4296,4141,4309,3965,4071,3984,3822,3800,3597,3613,3620,3822,3781,3540,3560,3454,3497,3412,3149,3129,3021,2882,2857,2531,2408,2293,2190,2120,1803,1738,1593,1558,1529,1394,1357,1348,1243,1054,999,960,904,780,793,692,645,598,563,565,453,459,396,365,355,306,306,274,242,194,194,202,125,109,92,83,50,54,37,25,28,15,6,12,13,0,0
9,Delaware,10,73221,37926,893,910,941,894,950,862,825,836,780,737,725,612,660,599,598,651,636,685,664,731,772,761,741,794,787,822,798,825,783,787,808,704,643,685,640,627,591,630,577,505,570,521,470,441,440,395,419,368,370,320,321,301,260,267,239,244,217,203,163,161,156,147,125,129,101,102,68,77,79,82,68,65,68,63,45,46,36,32,37,29,32,34,20,21,21,20,14,14,9,6,6,5,6,0,1,0,1,0,0,0,1,0,1,35295,866,816,914,950,898,851,795,819,699,677,742,691,627,609,590,563,613,571,666,679,633,650,643,607,648,625,664,710,703,651,692,597,624,625,587,592,583,545,526,527,514,444,453,460,423,428,335,326,296,361,258,238,254,229,242,196,212,168,157,167,160,153,149,133,137,111,93,84,98,91,79,74,73,56,53,55,60,41,37,33,35,32,27,37,25,21,21,12,21,15,12,4,8,6,5,2,3,2,3,3,2,0,0
