,state,state code,total,male,male under 1,male 1,male 2,male 3,male 4,male 5,male 6,male 7,male 8,male 9,male 10,male 11,male 12,male 13,male 14,male 15,male 16,male 17,male 18,male 19,male 20,male 21,male 22,male 23,male 24,male 25,male 26,male 27,male 28,male 29,male 30,male 31,male 32,male 33,male 34,male 35,male 36,male 37,male 38,male 39,male 40,male 41,male 42,male 43,male 44,male 45,male 46,male 47,male 48,male 49,male 50,male 51,male 52,male 53,male 54,male 55,male 56,male 57,male 58,male 59,male 60,male 61,male 62,male 63,male 64,male 65,male 66,male 67,male 68,male 69,male 70,male 71,male 72,male 73,male 74,male 75,male 76,male 77,male 78,male 79,male 80,male 81,male 82,male 83,male 84,male 85,male 86,male 87,male 88,male 89,male 90,male 91,male 92,male 93,male 94,male 95,male 96,male 97,male 98,male 99,male 100-104,male 105-109,male 110+,female,female under 1,female 1,female 2,female 3,female 4,female 5,female 6,female 7,female 8,female 9,female 10,female 11,female 12,female 13,female 14,female 15,female 16,female 17,female 18,female 19,female 20,female 21,female 22,female 23,female 24,female 25,female 26,female 27,female 28,female 29,female 30,female 31,female 32,female 33,female 34,female 35,female 36,female 37,female 38,female 39,female 40,female 41,female 42,female 43,female 44,female 45,female 46,female 47,female 48,female 49,female 50,female 51,female 52,female 53,female 54,female 55,female 56,female 57,female 58,female 59,female 60,female 61,female 62,female 63,female 64,female 65,female 66,female 67,female 68,female 69,female 70,female 71,female 72,female 73,female 74,female 75,female 76,female 77,female 78,female 79,female 80,female 81,female 82,female 83,female 84,female 85,female 86,female 87,female 88,female 89,female 90,female 91,female 92,female 93,female 94,female 95,female 96,female 97,female 98,female 99,female 100-104,female 105-109,female 110+
0,Alabama,01,96910,56267,1391,1325,1454,1428,1276,1148,1108,1088,936,1022,909,841,807,708,726,709,741,815,898,1072,1279,1339,1539,1633,1739,1667,1587,1660,1522,1550,1498,1319,1271,1292,1117,1172,932,900,913,833,802,662,628,606,571,562,467,422,425,407,393,296,301,283,232,242,201,175,170,162,134,99,96,78,74,81,68,66,45,37,32,32,22,24,26,28,27,17,16,12,13,6,9,7,12,8,9,3,3,5,2,0,1,1,1,1,0,0,0,0,0,1,0,40643,1363,1358,1336,1333,1182,1104,1010,914,949,854,843,747,709,712,626,633,673,661,660,715,710,715,857,912,943,929,989,1024,908,944,998,774,821,791,771,779,672,632,584,544,441,441,440,337,380,353,288,287,248,235,262,197,180,207,177,147,133,104,100,98,90,77,84,60,47,60,43,48,34,20,33,22,28,27,32,17,24,22,21,18,7,20,13,8,11,11,5,6,9,2,0,2,2,1,1,0,1,0,0,2,1,0,0
1,Alaska,02,11102,5897,85,86,95,75,94,59,98,99,96,81,101,81,99,75,96,82,106,110,110,88,125,117,150,131,128,126,115,105,118,124,111,96,107,91,98,102,88,94,101,102,101,88,99,99,87,94,85,91,73,82,75,76,79,72,52,64,48,63,45,39,60,33,21,27,35,21,17,21,14,11,12,13,5,3,9,6,4,5,3,3,4,5,1,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5205,78,72,84,90,85,78,74,75,85,74,87,87,83,95,88,97,83,81,89,105,101,102,89,93,101,106,105,103,92,86,98,82,88,103,65,99,69,96,93,88,81,78,90,76,73,76,76,75,75,74,69,57,52,78,55,64,46,41,55,45,26,32,26,28,26,22,13,16,11,12,16,8,10,5,7,8,8,3,6,3,5,7,2,0,3,8,1,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
2,Arizona,04,761716,387720,7724,8044,8316,8299,8057,8023,8006,7966,7623,8072,7788,7603,7723,7713,7416,7652,7652,7907,8145,8031,7922,7112,7208,7032,7099,7146,6791,6934,6942,7029,7353,6392,6504,6270,6293,6420,5840,5782,5502,5682,5759,5254,5157,4798,4823,5078,4465,4459,4271,3997,4020,3477,3433,3154,2983,2698,2626,2249,2120,2089,1907,1700,1594,1416,1291,1174,987,1008,900,788,765,677,597,550,490,474,393,370,305,353,333,284,240,205,170,159,149,122,88,81,57,43,33,28,13,11,6,7,6,12,8,1,2,373996,7590,7684,8092,7914,7758,7835,7677,7553,7700,7890,7574,7318,7330,7293,7252,7419,7386,7527,7708,7518,7204,6804,6499,6396,6393,6371,5903,6243,6293,6228,6407,5842,5918,5953,6035,6372,5879,5574,5716,5519,5664,4925,4999,4768,4702,4698,4521,4261,4162,4122,3825,3428,3381,3112,3017,2768,2496,2441,2142,2086,1904,1639,1588,1535,1342,1313,1247,1057,944,881,853,800,743,685,661,585,500,551,473,481,480,349,315,287,308,274,213,204,151,119,98,79,68,42,42,28,23,14,11,10,14,0,0
3,Arkansas,05,99571,54213,1284,1233,1264,1213,1298,1306,1147,1126,1010,1159,1063,1001,967,940,1008,975,933,957,1020,1018,1075,1092,1119,1184,1178,1235,1136,1217,1147,1147,1232,1063,1049,1057,1023,1024,861,885,802,851,786,797,735,691,616,650,558,470,492,492,462,428,353,355,338,308,247,240,207,190,187,131,167,118,98,97,79,68,66,50,56,50,47,28,40,29,26,15,16,17,25,11,18,8,9,5,10,9,4,4,5,1,2,2,0,0,1,0,0,0,0,0,0,45358,1257,1222,1250,1232,1208,1110,1082,1151,1073,1045,1015,923,897,920,868,853,861,929,814,845,765,762,746,806,860,783,795,859,890,846,920,812,916,815,793,806,707,771,726,716,654,580,596,508,500,507,435,442,401,397,338,306,271,292,235,223,218,184,150,140,146,128,100,121,91,96,58,70,60,57,50,51,32,20,42,34,17,19,19,16,20,12,7,9,9,6,6,5,9,8,4,3,1,1,1,2,0,1,1,0,0,0,0
4,California,06,6317372,3220187,60352,60033,63219,62635,60616,59566,57983,57970,57449,58938,59319,57650,58168,59466,60472,61759,63322,64651,65967,65651,63958,61696,62667,61591,63086,62642,60254,61635,60389,60548,61668,54033,55218,53617,53804,54692,50393,50949,49625,49530,52682,46353,46514,43661,43723,43750,39924,38143,35983,35533,35943,30699,30373,27681,26721,25434,21925,20014,18481,17478,16459,14204,13600,12134,10698,9897,8653,8099,7210,6731,6440,5648,5257,4899,4616,4267,3620,3413,3276,3062,3019,2422,2186,1936,1767,1575,1450,1250,1013,791,580,450,354,245,210,156,118,90,71,47,62,12,4,3097185,58025,57879,59731,60150,58598,57107,56097,55967,55332,56261,56068,56069,55983,57240,58211,59181,60521,61448,63336,62761,59747,56242,56147,55113,55288,55152,53952,54938,54380,54304,54430,49662,50764,49799,49995,50937,48642,48808,47151,48023,48833,44077,43704,41811,40807,41552,39043,37411,35553,34858,34831,30227,30111,28021,27401,25784,22858,21075,19306,18351,17565,15653,14774,13439,12026,11686,10181,9837,8665,8241,7892,7068,6683,6376,6173,5760,5077,4750,4561,4634,4343,3584,3377,3129,2815,2537,2092,1822,1511,1350,1026,768,677,471,421,306,243,199,143,92,154,30,1
5,Louisiana,22,69227,40747,822,781,754,699,605,536,530,512,479,480,477,456,432,377,405,457,438,511,652,665,814,939,1070,1080,1199,1261,1195,1090,1168,1155,1107,961,1009,918,912,846,811,763,722,621,682,587,569,538,494,520,494,441,447,483,413,368,342,318,335,291,267,216,221,205,199,162,148,122,118,104,100,92,67,62,71,50,43,46,52,35,39,38,25,24,26,25,26,22,16,17,19,10,12,8,7,2,5,4,2,1,1,3,0,2,0,1,1,28480,708,685,676,677,575,513,492,443,503,429,476,410,391,376,435,420,430,403,428,500,542,549,594,612,647,705,616,665,622,633,624,590,604,526,500,515,421,427,423,416,380,393,344,316,323,347,321,331,278,269,276,246,236,215,239,211,203,163,183,162,163,123,134,107,102,103,88,74,83,68,62,51,57,65,58,45,48,39,38,45,35,44,28,33,18,31,16,21,13,9,8,10,3,3,5,1,2,3,1,2,2,2,0
6,Kentucky,21,55551,32343,790,772,756,789,702,729,643,658,574,536,501,482,466,470,421,430,438,496,548,614,671,732,723,793,893,921,893,902,893,874,881,751,730,685,655,636,622,564,547,537,512,367,414,377,334,351,296,307,249,242,251,186,188,163,164,123,132,88,98,87,66,64,49,48,50,40,40,41,38,28,24,26,18,13,15,14,15,11,17,9,11,10,8,5,2,4,6,8,3,1,4,2,2,0,0,0,1,0,1,1,1,0,0,23208,718,754,758,792,740,687,597,583,519,500,501,446,411,448,387,367,397,347,413,405,406,409,454,443,507,488,506,544,464,522,455,450,473,426,396,419,381,379,326,363,305,288,234,217,231,183,211,183,153,159,141,102,124,108,87,75,77,59,55,52,66,36,43,50,35,27,34,26,23,19,20,18,20,14,20,22,10,9,7,9,13,10,13,5,6,4,4,4,7,1,0,4,0,0,1,0,1,0,0,0,1,0,1
7,Colorado,08,364140,187965,3731,3824,3806,3973,3853,3907,3773,3803,3666,3608,3606,3515,3487,3366,3296,3459,3368,3491,3428,3422,3365,3367,3353,3469,3580,3486,3468,3621,3454,3589,3703,3376,3469,3218,3243,3253,3107,2966,3054,2877,2926,2629,2647,2461,2288,2457,2238,2064,2132,1944,2004,1739,1660,1687,1535,1452,1288,1208,1118,1088,991,845,839,741,634,591,545,495,417,372,365,318,324,269,237,246,204,172,171,143,141,140,132,90,101,103,93,60,42,50,32,31,20,15,12,4,5,4,4,0,2,0,0,176175,3591,3597,3731,3794,3630,3621,3648,3668,3433,3729,3609,3303,3286,3116,3118,3245,3109,3376,3354,3223,3176,2972,2981,2935,2987,3036,3050,3054,3102,3078,3152,3013,2926,3003,2865,2962,2920,2845,2821,2644,2625,2506,2414,2210,2205,2174,2059,2032,1974,1941,1822,1723,1588,1536,1464,1386,1221,1136,1041,1028,1011,901,851,801,658,619,555,522,439,401,388,367,368,319,278,319,269,243,264,202,206,204,192,142,145,121,110,96,99,69,51,34,29,28,26,19,13,6,8,6,6,2,0
8,Connecticut,09,198466,101314,1816,1808,1840,1806,1768,1758,1683,1586,1662,1731,1725,1736,1639,1743,1753,1736,1880,1853,1957,2090,2147,2081,2049,2090,2073,2151,2087,2056,2118,2107,2268,1990,1978,1918,1942,1885,1713,1663,1690,1675,1726,1530,1546,1417,1506,1495,1329,1248,1141,1152,1114,929,891,841,779,704,562,583,512,480,429,425,400,375,306,299,230,221,206,162,171,180,117,118,123,96,84,87,76,67,49,52,49,35,36,42,33,21,19,13,19,10,6,4,6,2,2,5,1,1,0,1,0,97152,1736,1676,1721,1753,1649,1672,1553,1593,1666,1598,1622,1641,1696,1618,1713,1649,1743,1744,1887,1858,1819,1801,1823,1747,1819,1837,1766,1827,2023,1980,1935,1726,1859,1771,1714,1654,1645,1656,1612,1624,1661,1523,1521,1503,1488,1456,1293,1279,1239,1135,1136,993,877,816,783,785,591,575,532,542,521,467,437,440,401,351,304,305,281,238,227,207,189,188,146,162,128,119,98,85,91,85,90,85,54,50,51,47,32,26,22,17,14,11,7,2,10,1,2,3,4,0,0
9,Delaware,10,30519,16263,333,381,349,369,362,337,345,338,314,316,307,233,259,223,270,269,254,285,266,314,340,326,339,347,384,411,438,400,379,377,379,345,310,302,298,292,291,287,285,242,260,232,202,216,183,173,204,158,140,139,128,98,116,112,87,83,92,82,67,46,51,48,52,42,30,34,21,19,24,23,23,24,19,26,13,10,8,8,10,6,11,13,3,4,6,5,5,2,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,14256,334,323,372,377,367,343,319,339,293,259,287,261,264,256,237,246,256,242,248,254,246,271,266,267,284,277,282,313,295,302,298,272,296,271,287,272,249,245,227,235,213,183,200,181,178,167,146,130,125,133,95,79,95,80,86,71,64,52,60,47,54,38,43,34,39,31,28,28,18,24,25,23,18,10,8,14,16,12,8,4,14,6,6,8,4,6,4,3,1,3,2,2,2,1,1,0,0,0,1,0,0,0,0
