,state,state code,total,male,male under 1,male 1,male 2,male 3,male 4,male 5,male 6,male 7,male 8,male 9,male 10,male 11,male 12,male 13,male 14,male 15,male 16,male 17,male 18,male 19,male 20,male 21,male 22,male 23,male 24,male 25,male 26,male 27,male 28,male 29,male 30,male 31,male 32,male 33,male 34,male 35,male 36,male 37,male 38,male 39,male 40,male 41,male 42,male 43,male 44,male 45,male 46,male 47,male 48,male 49,male 50,male 51,male 52,male 53,male 54,male 55,male 56,male 57,male 58,male 59,male 60,male 61,male 62,male 63,male 64,male 65,male 66,male 67,male 68,male 69,male 70,male 71,male 72,male 73,male 74,male 75,male 76,male 77,male 78,male 79,male 80,male 81,male 82,male 83,male 84,male 85,male 86,male 87,male 88,male 89,male 90,male 91,male 92,male 93,male 94,male 95,male 96,male 97,male 98,male 99,male 100-104,male 105-109,male 110+,female,female under 1,female 1,female 2,female 3,female 4,female 5,female 6,female 7,female 8,female 9,female 10,female 11,female 12,female 13,female 14,female 15,female 16,female 17,female 18,female 19,female 20,female 21,female 22,female 23,female 24,female 25,female 26,female 27,female 28,female 29,female 30,female 31,female 32,female 33,female 34,female 35,female 36,female 37,female 38,female 39,female 40,female 41,female 42,female 43,female 44,female 45,female 46,female 47,female 48,female 49,female 50,female 51,female 52,female 53,female 54,female 55,female 56,female 57,female 58,female 59,female 60,female 61,female 62,female 63,female 64,female 65,female 66,female 67,female 68,female 69,female 70,female 71,female 72,female 73,female 74,female 75,female 76,female 77,female 78,female 79,female 80,female 81,female 82,female 83,female 84,female 85,female 86,female 87,female 88,female 89,female 90,female 91,female 92,female 93,female 94,female 95,female 96,female 97,female 98,female 99,female 100-104,female 105-109,female 110+
0,Alabama,01,3275394,1605447,17992,18368,18828,19256,19042,19274,19339,19284,19522,20684,20678,20576,20604,20458,20550,21155,21342,21611,22127,22842,22527,21449,20677,20689,20240,20263,19361,19859,19635,20100,20357,18938,19355,19025,18908,19772,19424,20222,21794,23255,22698,21581,21014,21449,22294,24296,24333,24319,24907,24877,25328,24091,24654,24415,24072,23439,22829,21908,21743,20635,21097,21029,22184,21868,16273,16775,16940,16968,14599,13755,13141,12479,11884,10887,10621,10076,8971,8632,8155,7476,7037,6194,5772,5134,4339,3835,3324,2669,2295,1785,1426,1021,745,593,401,311,195,130,62,38,63,4,0,1669947,17407,17313,18348,18041,18033,18165,18476,18526,18766,19636,19590,19569,19526,19321,19378,19637,20087,20099,21279,22536,22198,21286,20790,19988,20027,19732,19670,19535,19596,19988,19817,18981,19331,19073,18809,19709,19294,20349,21564,23140,22554,21298,20775,21399,22264,24204,24430,24479,24909,25262,25270,24713,25469,24937,24325,24668,23843,23027,22899,21622,22467,22306,23710,23390,17875,18473,18638,19061,16462,15420,15265,14781,14342,13016,12934,12560,11360,11083,10933,10682,9955,9349,9050,8330,7505,6965,6160,5390,4860,4127,3467,2763,2100,1631,1344,1013,735,522,327,251,366,21,1
1,Alaska,02,473576,250183,3070,3068,3084,3002,2998,2849,2939,2855,2950,2899,3051,2933,2855,2913,2996,3075,3153,3251,3152,3126,3517,3608,3677,3778,4115,4124,3974,3984,3955,3734,3939,3362,3515,3153,3201,3465,2991,3088,3436,3620,3823,3455,3335,3395,3461,3927,3983,4221,4274,4345,4811,4299,4564,4426,4362,4582,4269,4193,4062,3659,3684,3319,3192,2999,2170,2169,2080,1929,1642,1451,1262,1064,1073,906,817,770,687,608,574,566,540,436,407,322,295,224,246,190,178,131,105,74,62,29,25,17,7,15,5,4,7,1,0,223393,2839,2952,2871,2916,2745,2721,2776,2739,2677,2724,2783,2717,2706,2797,2862,2943,2989,2983,2827,2557,2696,2749,2984,3095,3389,3477,3378,3505,3367,3364,3380,3025,3039,2982,2808,2934,2868,2889,3029,3278,3365,3014,2981,3016,3144,3516,3514,3766,3867,3946,4077,3874,4018,4079,3928,4103,3683,3545,3393,2978,3020,2660,2598,2468,1865,1785,1730,1633,1430,1237,1129,968,923,829,805,734,658,649,634,628,570,523,486,451,412,426,377,307,270,235,178,134,115,86,78,63,44,27,24,12,25,0,0
2,Arizona,04,4667121,2309076,27085,28078,29025,29788,29083,28844,29132,29202,28858,29933,29775,29172,29273,29310,29460,29591,29535,30203,30851,32092,31391,30489,29482,29383,29885,30306,29814,30595,30530,30704,31284,28484,28474,27840,27718,29517,27544,28181,29837,31895,32330,29690,29408,28660,29559,31657,31675,32299,32655,32791,33648,31896,32433,31584,30835,31103,29942,29439,29078,28379,29322,28950,31142,31265,23869,24648,25184,25636,22530,20940,20245,19381,18841,17262,16553,15810,14132,13807,13226,12696,11806,10448,9494,8458,7564,6792,5886,4927,4240,3515,2625,2035,1527,1181,827,567,372,240,169,114,132,14,0,2358045,25984,26767,27979,28354,27525,27613,27911,27905,27611,28511,28715,28186,27577,27832,27791,27667,28235,28048,29339,30292,29289,28109,27446,27509,28657,29044,28490,29473,29343,29603,29831,27655,27795,27368,26668,28019,26774,27319,29212,31180,31040,28819,28461,28028,28765,31647,31932,32509,32861,33670,34519,33500,34489,33700,33035,33514,33019,32566,32191,31533,32272,32194,34064,34163,26188,27402,27552,28133,25235,23285,22276,20919,20085,18551,17974,17165,15466,15389,14664,14586,13912,12838,12327,11411,10594,9977,9002,7856,7028,6067,4695,3880,3272,2516,1944,1391,1144,783,505,342,546,26,2
3,Arkansas,05,2245229,1104561,13315,13297,13815,14384,13720,13981,13968,14037,13954,14316,14459,14318,14305,14190,14114,14223,14592,14591,14885,15688,15499,14744,14505,13855,13916,13812,13836,14183,14011,14361,14781,13315,13651,13313,13215,13749,13271,13615,14422,15114,15165,14040,13870,14018,14546,16095,16226,16528,16208,16291,16743,16100,16043,15683,15452,15256,14936,14645,14458,13833,13957,14121,14748,14887,11134,11812,11921,11595,10702,9807,9621,8832,8496,7789,7658,7193,6458,6144,5662,5354,4864,4426,3938,3834,3314,2929,2382,2076,1805,1429,1162,832,655,480,342,239,195,113,81,54,58,5,1,1140668,12310,12754,13102,13456,13240,13257,13402,12998,13313,13567,13709,13448,13491,13602,13473,13443,13477,13780,14294,15345,15117,14588,14219,13629,13833,13767,13718,13960,13907,14128,13883,13076,13549,12936,12858,13296,13100,13667,14334,15093,14797,13907,13593,13774,14240,16126,16639,16454,16266,16616,16639,16154,16312,16345,16100,16178,15753,15499,15113,14773,14919,15373,15573,16014,12076,13013,13023,12880,11760,11168,10541,10127,9486,8647,8851,8649,7965,7677,7464,7149,6764,6167,6067,5715,5300,4851,4380,3770,3574,3092,2437,1952,1664,1315,1045,822,675,486,266,204,344,25,1
4,California,06,21453934,10705607,121590,123415,127854,129426,128482,128669,128465,127280,127851,131381,133693,132838,133794,137156,141089,143536,147240,149708,152503,155712,156136,150325,149274,149776,151999,152742,149022,152446,151024,150005,152742,138663,139387,136078,133729,140185,132498,135996,142172,154297,161574,149116,148196,147666,150323,163136,162608,163686,165456,167618,171903,161702,163960,159520,156167,156301,147623,143978,137523,132374,132829,126166,130483,129089,98752,98461,93804,92799,79805,73467,70463,66975,63557,58711,56544,54668,49946,48964,48012,47067,44701,40075,37522,34352,31655,29430,26411,22993,20398,17065,13206,9880,7856,5539,4363,3069,2158,1444,891,594,766,57,12,10748327,116562,117660,121832,123442,122116,122348,122533,122334,121804,125474,126654,127344,128457,130494,132910,136000,137804,138456,140366,141450,140029,135696,134787,135519,138129,141923,137484,141461,140977,140649,141553,130399,132694,129624,128593,133395,126612,131007,136600,148449,153527,143577,140810,141978,143906,156837,158412,160086,162056,165758,167770,159826,163515,160030,157966,158494,151875,148775,142549,138170,138483,133075,137287,135591,105403,106695,102548,103121,89250,83237,80128,76944,73884,69729,67522,66216,61154,60817,59371,60083,58596,54541,54141,52095,50233,48003,43870,39125,35858,30934,24851,19886,16384,13049,10421,8265,6372,4576,3220,2164,3425,234,9
5,Louisiana,22,2836192,1400974,16883,16997,17483,17936,17170,17097,17230,17230,17209,17710,17921,17902,17484,17312,17658,17766,17740,18532,18594,18959,19196,19357,19420,19898,20246,20381,20043,20421,20140,20126,19866,18565,18347,17502,16921,17097,16627,17086,18362,19127,19175,18577,18013,18447,18674,20762,20957,20903,21239,21718,22327,21907,21508,21508,21085,21153,20060,19552,18976,17694,17690,17362,17922,17900,12875,13508,13222,12951,11522,10589,10201,9670,9309,8367,8013,7692,6795,6787,6335,6068,5540,5259,4899,4397,3847,3365,2907,2324,2059,1645,1195,859,661,450,318,229,177,104,67,49,64,5,0,1435218,16208,16074,16973,16782,16343,16443,16505,16154,16165,16953,17212,16889,16696,16528,16486,16539,16977,17148,18043,19280,19396,19066,18943,19085,19558,19832,19459,19673,19307,19360,18838,17267,17229,17013,16603,16546,16096,16747,18030,18876,18832,17986,17958,18144,18643,20430,20960,21279,21836,22187,22613,21591,22032,21626,21491,21567,20460,19591,19436,18550,18507,17887,18653,18685,13780,14589,14339,14320,12991,12191,11666,11202,10789,9804,9777,9592,8712,8856,8802,8559,8099,7858,7446,6828,6309,5598,5084,4539,4058,3369,2925,2088,1780,1351,1097,818,617,402,244,195,268,8,2
6,Kentucky,21,3809537,1869039,22817,22706,23759,23859,23950,23741,24049,23835,23998,24870,24999,24873,24337,24452,24751,25257,25537,25463,25902,26429,26075,24839,24655,24219,24282,24326,23947,24521,24230,24911,25608,24163,24438,23839,23293,23890,23293,24249,26280,27321,26415,25355,25159,25546,26414,28773,28473,28624,28226,28954,29379,28189,28574,27720,27408,27569,26073,25279,25277,23732,23844,23762,24009,23475,17525,17832,17184,17462,15503,14260,13479,13063,12229,10772,10617,9929,8827,8450,7865,7446,6834,6155,5925,5082,4513,4029,3444,2810,2440,1960,1412,1110,830,565,433,267,191,128,114,66,89,7,0,1940498,21667,21989,22629,22891,22415,22676,22981,22421,22588,23338,23680,23565,23370,23109,23010,23576,23850,24387,24951,26083,25849,24635,23956,23665,23858,23837,23820,24610,24374,25227,25312,23679,24172,23634,23342,23868,23180,24136,25839,27084,26350,25604,25526,25725,26346,29215,29197,29151,29927,29686,29862,29268,29969,29111,28588,28907,27487,26834,26711,25127,25372,24859,25598,25192,18840,19152,19094,19193,17318,16513,15549,14987,14276,12910,12926,12442,11569,11177,10775,10444,10371,9522,9119,8535,7688,7375,6477,5761,5383,4427,3526,2888,2347,1855,1550,1141,805,584,378,313,398,23,2
7,Colorado,08,4089202,2045401,24842,25283,26026,26424,26341,26330,26737,26326,26296,26294,26351,25577,25219,25441,25436,25900,26043,26171,27306,28193,27976,27238,27672,28593,29480,30108,29721,30592,30330,30428,30795,28346,28658,27640,27334,29096,27298,27808,29551,31753,31332,29402,27803,27255,27492,30141,30433,31075,31645,32053,33038,31736,32104,31316,30751,30230,29298,28956,27955,26426,25952,24825,25603,24827,18003,17853,17335,16797,14408,13060,12303,11582,10893,10102,9430,8819,8216,7870,7613,7259,6725,6071,5568,4806,4462,4028,3550,3045,2606,2128,1699,1359,958,720,517,372,245,166,101,48,73,7,3,2043801,23456,23945,24397,24876,24891,25233,25436,25008,24709,25205,24862,24444,23954,24050,23866,23875,24472,24738,24853,25683,25600,24777,25436,26323,27737,28176,27971,28785,28816,28833,29192,27124,27486,26363,26055,26534,25398,26263,27814,29941,29892,28239,26804,26869,27437,29828,30602,31749,32123,33229,33613,32310,32380,32062,31488,31137,30619,29796,28571,27171,27032,25544,25960,25509,18699,18871,18276,18033,15816,14391,13580,13050,12168,11357,10877,10498,9703,9663,9277,9298,8669,8395,8117,7650,7167,6669,6231,5407,5181,4209,3468,2934,2403,1833,1427,1140,925,672,417,328,432,29,0
8,Connecticut,09,2772410,1348331,12511,13094,13779,14119,14810,15117,15818,16062,16318,16774,17174,17711,17501,18320,18247,18667,19083,19281,18073,17813,17342,16767,16798,16139,15976,15528,15056,14995,14807,14591,14988,13740,14088,13837,13917,14607,14110,15005,16718,18674,19533,18830,19171,20200,21305,22591,22903,22795,23253,23905,24139,23615,23930,22933,22365,22183,21119,20290,19356,18034,17785,17323,18167,18170,13705,13551,13667,14054,11163,9862,9196,8900,8364,7818,7718,7407,6779,6770,6839,6805,6380,6025,5839,5356,4733,4476,4060,3509,3091,2493,2123,1510,1287,961,625,513,330,213,161,80,111,7,0,1424079,11748,12292,13033,13674,14100,14479,15096,15037,15427,15756,16523,16637,16411,17352,17255,17740,18122,17961,16769,16909,16330,15983,15697,15172,15111,14710,14389,14814,14736,14405,14699,14086,14222,14105,14352,14695,14627,15893,17493,19506,20383,19604,20163,20929,22226,23630,23940,23705,24323,24915,24974,24583,24545,23518,23723,22861,22011,21190,20346,19044,19059,18577,19651,19781,14652,14424,14874,15415,12800,11318,10858,10605,10313,9723,9475,9607,9038,9206,9125,9273,9188,8962,8913,8492,8048,7858,7250,6556,6079,5269,4565,3801,3295,2564,1997,1588,1256,865,584,471,686,58,1
9,Delaware,10,618617,300727,3100,3128,3196,3271,3315,3220,3416,3365,3271,3505,3478,3462,3509,3399,3553,3694,3817,3930,4145,4524,4453,4338,3961,3873,3838,3796,3640,3774,3633,3635,3657,3435,3463,3224,3108,3307,3169,3475,3713,4035,3978,3890,3813,4186,4324,4632,4703,4723,4815,4787,4778,4950,4830,4667,4653,4492,4313,4324,4088,3983,4043,4087,4306,4518,3193,3373,3441,3506,2996,2770,2522,2605,2426,2109,2065,2086,1824,1789,1774,1712,1541,1409,1320,1085,989,898,749,605,555,440,358,261,205,138,83,69,44,32,23,8,14,2,0,317890,2892,2914,3080,3096,3182,3163,3138,3187,3055,3252,3293,3308,3304,3289,3413,3543,3582,3762,4350,4585,4631,4529,3958,3495,3725,3595,3596,3663,3627,3766,3704,3431,3467,3312,3227,3403,3338,3470,3788,4088,4180,3938,4035,4239,4388,4728,4741,4920,4891,5168,5092,4954,5175,5000,4955,4764,4661,4793,4601,4455,4391,4515,4825,4812,3701,3672,3874,3969,3482,3201,2924,2867,2764,2533,2476,2396,2178,2240,2159,2103,1910,1815,1760,1702,1450,1416,1402,1192,1065,898,696,619,487,400,299,243,197,136,89,60,92,1,0
